Annee,Trésorerie et équivalents de trésorerie au 1er janvier,Bénéfice/perte avant impôt,Impôts sur le revenu payés,Amortissements et dépréciations des immobilisations corporelles et incorporelles,Autres produits et charges non monétaires,Variation des stocks,Variation des créances commerciales,Variation des créances liées au financement des ventes,Variation des provisions,Variation des produits loués,Variation des dettes commerciales,Flux de trésorerie entrants/sortants liés aux activités opérationnelles,Investissement total dans les immobilisations incorporelles et corporelles,Dépenses pour les actifs d'investissement,Produits de cession d'immobilisations incorporelles et d'immobilisations corporelles,Produits de la cession d'actifs de placement et d'autres unités opérationnelles,Flux de trésorerie liés aux activités d'investissement,Apports en capitaux propres,Paiement du dividende de l'année précédente,Opérations de financement et transactions sur capitaux propres intragroupe,Produit de l'émission de passifs financiers non courants,Remboursement de passifs financiers non courants,Variation des autres passifs financiers,Flux de trésorerie entrants/sortants liés aux activités de financement,Effet des variations de  taux de change sur la trésorerie et les équivalents de trésorerie,Trésorerie et équivalents de trésorerie au 31 décembre
2022,39123,22044,-4415,31275,-542,-8385,-3207,8586,-1856,-8711,-6294,28495,-12948,-13349,844,-16368,-41821,-235.0,-4362,16198.0,23876,-26886,-4366,4225,-285,29737
2021,33432,20126,-4216,28440,-1652,2110,1888,1856,1943,-16205,4345,38635,-10655,-13742,217,-1948,-26128,-1071.0,-3022,-590.0,32659,-31803,-3928,-7755,942,39126
2020,24329,11667,-2646,26717,-1572,1334,712,540,803,-12914,260,24901,-11273,-8107,1008,-4319,-22691,2984.0,-2952,-238.0,25181,-20915,3577,7637,-745,33431
2019,28113,18356,-2914,24895,-730,-674,-893,2297,1646,-13204,-10796,17983,-14230,-6264,417,-1069,-21146,,-2899,1368.0,25916,-20741,-4509,-865,243,24328
2018,18038,15643,-3804,22903,347,-5372,-6400,3645,-762,-11647,-7282,7271,-13729,-6124,466,-2204,-21591,1491.0,-2375,-28.0,35308,-15319,5488,24565,-173,28110
2017,18833,13673,-3664,22415,-240,-4198,-1660,5302,-9443,-11478,-11891,-1184,-13052,-6098,931,1711,-16508,3473.0,-1332,,30279,-17905,3109,17624,-727,18038
2016,20462,7292,-3315,21078,716,-3637,-2155,5048,5966,-12074,-9490,9429,-13152,-6178,2534,-3883,-20679,,-364,-3.0,14262,-23637,19455,9713,-91,18834
2015,18634,-1301,-3238,18409,2102,-3149,-1807,2807,18329,-10808,-7663,13681,-13213,-6017,3706,-5627,-21151,2457.0,-2516,0.0,13,32893,-23755,9092,9068,29324
2014,22009,14794,-4040,15820,-174,-2214,-1433,4764,562,-8487,-8807,10785,-12012,-4879,440,-2646,-19097,4932.0,-1962,-6535.0,15,29960,-21748,4662,4645,23004
2013,17794,12428,-3107,13892,1012,-1021,-1651,2363,2479,-7112,-6688,12595,-11385,-4195,645,-1954,-16889,3067.0,-1849,0.0,-21,22403,-14614,8986,8973,31459
2012,16495,25487,-5056,1590,-2031,460,-56,-236,470,-5606,-7814,7208,-10493,-6735,387,-2643,-19484,2046.0,-1673,-2101.0,36,32487,-16952,13843,13712,31774